policy_id,customer_id,policy_type,premium,sum_assured,tenure_months,start_date,end_date,channel,product_name
POL200000,CUST100000,Motor,39195,849463,36,2023-01-01,2024-01-01,Agent,Test Product
POL200001,CUST100001,Life,13758,279917,12,2023-01-01,2024-01-01,Online,Test Product
POL200002,CUST100002,Health,21375,824409,36,2023-01-01,2024-01-01,Agent,Test Product
POL200003,CUST100003,Health,26002,106626,12,2023-01-01,2024-01-01,Online,Test Product
POL200004,CUST100004,Health,27400,817158,24,2023-01-01,2024-01-01,Agent,Test Product
POL200005,CUST100005,Life,6971,808231,24,2023-01-01,2024-01-01,Agent,Test Product
POL200006,CUST100006,Motor,29595,802327,12,2023-01-01,2024-01-01,Online,Test Product
POL200007,CUST100007,Life,11943,698365,24,2023-01-01,2024-01-01,Online,Test Product
POL200008,CUST100008,Motor,38451,524410,24,2023-01-01,2024-01-01,Agent,Test Product
POL200009,CUST100009,Motor,35737,734648,36,2023-01-01,2024-01-01,Online,Test Product
POL200010,CUST100010,Health,46513,349409,36,2023-01-01,2024-01-01,Agent,Test Product
POL200011,CUST100011,Life,38514,802656,24,2023-01-01,2024-01-01,Online,Test Product
POL200012,CUST100012,Life,21498,600082,24,2023-01-01,2024-01-01,Online,Test Product
POL200013,CUST100013,Life,48537,513024,24,2023-01-01,2024-01-01,Agent,Test Product
POL200014,CUST100014,Life,23488,555045,24,2023-01-01,2024-01-01,Online,Test Product
POL200015,CUST100015,Life,19662,611867,36,2023-01-01,2024-01-01,Agent,Test Product
POL200016,CUST100016,Health,45749,133536,12,2023-01-01,2024-01-01,Agent,Test Product
POL200017,CUST100017,Motor,21670,225817,12,2023-01-01,2024-01-01,Agent,Test Product
POL200018,CUST100018,Life,8435,320933,24,2023-01-01,2024-01-01,Agent,Test Product
POL200019,CUST100019,Health,26130,203077,12,2023-01-01,2024-01-01,Online,Test Product
POL200020,CUST100000,Health,40805,495652,12,2023-01-01,2024-01-01,Agent,Test Product
POL200021,CUST100001,Health,13526,701562,12,2023-01-01,2024-01-01,Agent,Test Product
POL200022,CUST100002,Motor,25832,688985,36,2023-01-01,2024-01-01,Online,Test Product
POL200023,CUST100003,Life,10846,523986,36,2023-01-01,2024-01-01,Agent,Test Product
POL200024,CUST100004,Life,35891,869572,36,2023-01-01,2024-01-01,Online,Test Product
POL200025,CUST100005,Health,26406,608712,24,2023-01-01,2024-01-01,Agent,Test Product
POL200026,CUST100006,Health,19858,171277,36,2023-01-01,2024-01-01,Online,Test Product
POL200027,CUST100007,Life,15210,788498,12,2023-01-01,2024-01-01,Online,Test Product
POL200028,CUST100008,Health,30402,617140,36,2023-01-01,2024-01-01,Online,Test Product
POL200029,CUST100009,Health,35141,671246,24,2023-01-01,2024-01-01,Agent,Test Product
POL200030,CUST100010,Health,47313,608835,36,2023-01-01,2024-01-01,Agent,Test Product
POL200031,CUST100011,Motor,24671,598221,12,2023-01-01,2024-01-01,Online,Test Product
POL200032,CUST100012,Motor,12230,181509,24,2023-01-01,2024-01-01,Agent,Test Product
POL200033,CUST100013,Health,42470,603286,36,2023-01-01,2024-01-01,Online,Test Product
POL200034,CUST100014,Life,33339,815421,24,2023-01-01,2024-01-01,Agent,Test Product
POL200035,CUST100015,Motor,36511,373555,24,2023-01-01,2024-01-01,Online,Test Product
POL200036,CUST100016,Life,9375,642554,12,2023-01-01,2024-01-01,Online,Test Product
POL200037,CUST100017,Life,19056,127736,24,2023-01-01,2024-01-01,Agent,Test Product
POL200038,CUST100018,Motor,39552,412749,12,2023-01-01,2024-01-01,Agent,Test Product
POL200039,CUST100019,Health,42451,493045,12,2023-01-01,2024-01-01,Online,Test Product
POL200040,CUST100000,Motor,24584,984464,36,2023-01-01,2024-01-01,Agent,Test Product
POL200041,CUST100001,Life,41214,293126,24,2023-01-01,2024-01-01,Online,Test Product
POL200042,CUST100002,Life,42876,348893,24,2023-01-01,2024-01-01,Agent,Test Product
POL200043,CUST100003,Health,22436,467675,24,2023-01-01,2024-01-01,Online,Test Product
POL200044,CUST100004,Motor,45413,993399,36,2023-01-01,2024-01-01,Online,Test Product
POL200045,CUST100005,Life,17974,868062,12,2023-01-01,2024-01-01,Agent,Test Product
POL200046,CUST100006,Health,15780,131223,24,2023-01-01,2024-01-01,Online,Test Product
POL200047,CUST100007,Life,35712,310545,12,2023-01-01,2024-01-01,Agent,Test Product
POL200048,CUST100008,Life,33654,839507,24,2023-01-01,2024-01-01,Online,Test Product
POL200049,CUST100009,Life,11288,152472,36,2023-01-01,2024-01-01,Agent,Test Product
